Not compatible with PI1 !						
PI2+ Header	GPIO	Device		Function	Direction	Comment
8	14	UART		TXD		OUT
10	15	UART		RXD		IN
12	18	DAC		CLK		OUT
35	19	DAC		FS		OUT
40	21	DAC		DOUT		OUT
3	2	I2C		SDA		IN/OUT
5	3	I2C		SCL		OUT
11	17	LCD		EN		OUT
13	27	LCD		RS		OUT
36	16	LCD		RW		OUT
15	22	LCD		D4		OUT
16	23	LCD		D5		OUT
18	24	LCD		D6		OUT
22	25	LCD		D7		OUT
29	5	ROTARY ENCODER	CLK (ENC A)	IN		default setting
31	6	ROTARY ENCODER	DT (ENC B)	IN		default setting
37	26	ROTARY ENCODER	SW		IN	
32	12	PWM AUDIO	PWM0		OUT	
33	13	PWM AUDIO	PWM1		OUT	
26	7	SPI		/CE1		OUT
24	8	SPI		/CE0		OUT
21	9	SPI		MISO		IN
19	10	SPI		MOSI		OUT
23	11	SPI		SCLK		OUT
nc	4	NONE				
nc	20	NONE				
